Crop,Year,Yield
Corn,1979,2.796
Corn,1980,3.055
Corn,1981,3.475
Corn,1982,2.167
Corn,1983,3.505
Corn,1984,2.836
Corn,1985,3.314
Corn,1986,3.628
Corn,1987,3.855
Corn,1988,4.215
Corn,1989,4.2
Corn,1990,3.994
Corn,1991,5.188
Corn,1992,4.414
Corn,1993,4.657
Corn,1994,4.832
Corn,1995,5.531
Corn,1996,5.974
Corn,1997,4.737
Corn,1998,5.252
Corn,1999,4.939
Corn,2000,4.646
Corn,2001,5.494
Corn,2002,6.257
Corn,2003,5.634
Corn,2004,5.798
Corn,2005,5.386
Corn,2006,4.923
Corn,2007,5.691
Corn,2008,5.82
Corn,2009,5.564
Corn,2010,5.739
Corn,2011,6.48
Corn,2012,6.486
Corn,2013,7.454
Corn,2014,8.304
Corn,2015,7.508
Corn,2016,6.436
Corn,2017,7.342
Corn,2018,5.551
Corn,2019,7.091
Corn,2020,7.043
Rice,1979,5.266
Rice,1980,7.677
Rice,1981,8.132
Rice,1982,5.786
Rice,1983,4.98
Rice,1984,6.797
Rice,1985,5.056
Rice,1986,4.134
Rice,1987,6.981
Rice,1988,7.711
Rice,1989,8.057
Rice,1990,8.315
Rice,1991,8.395
Rice,1992,8.094
Rice,1993,8.336
Rice,1994,8.538
Rice,1995,7.051
Rice,1996,8.257
Rice,1997,9.007
Rice,1998,9.203
Rice,1999,8.275
Rice,2000,9.282
Rice,2001,8.278
Rice,2002,9.319
Rice,2003,8.379
Rice,2004,6.647
Rice,2005,9.833
Rice,2006,8.15
Rice,2007,8.501
Rice,2008,8.461
Rice,2009,10.39
Rice,2010,9.544
Rice,2011,8.91
Rice,2012,10.218
Rice,2013,10.939
Rice,2014,9.91
Rice,2015,10.289
Rice,2016,9.821
Rice,2017,10.386
Rice,2018,8.771
Rice,2019,10.031
Rice,2020,9.873
